id,descriptions,actions,length
V013,"Three armed individuals break into a house, moving quickly as they search the area. The homeowner, reacting to the intrusion, fires a gun at them. In response, the intruders flee the scene.",c004 0.00 17.04;c033 17.89 29.82;c034 18.62 25.62,25.62
V014,"A masked man enters a room, steals a laptop and leaves.",c001 0.00 4.79;c007 7.39 21.47,21.47
V015,"A man enters the house through the front door and proceeds to search around the premises.",c001 0.00 5.04;c005 9.29 14.64,14.64
V016,"A delivery man arrives, places a parcel at the door, marks it as delivered, and then picks it up and leaves with it.",c035 0.27 8.08;c036 8.22 18.18,18.18
V017,"A man approaches the house, steals a parcel from the porch, and begins to leave. As he is leaving, the homeowner confronts him with a gun. The thief then returns the parcel and leaves the premises.",c028 4.57 19.74;c036 19.93 26.38;c004 26.55 47.99;c037 38.33 42.33,48
V018,"A woman approaches a house, takes parcels from the doorstep, and places them into her car.",c024 17.27 20.88;c036 0.00 14.94;c036 25.82 29.38,29.38
V020,"A man approaches a house, waits briefly, steals a parcel from the doorstep, gets into his car, and drives away.",c028 0.00 12.71;c036 12.88 22.57;c014 22.69 26.32;c025 26.44 32.00,32.00
V021,"A car backs into a driveway, and masked men step out. They break open the door and get inside, moving through the hallway and different rooms.",c018 0.00 3.69;c019 3.77 13.43;c020 25.44 34.44;c021 34.77 49.33,49.33
V022,"Two men enter a room, search through drawers and cabinets, and appear to be looking for valuables.",c001 0.00 1.69;c017 1.99 61.17,62
V023,"A person approaches a house, steals a parcel from the doorstep, gets into his car, and drives away.",c028 1.07 4.58;c036 4.75 27.80;c025 27.99 33.99,35
V024,"A person approaches a house, steals a parcel from the doorstep and walks away.",c028 1.57 13.47;c036 14.30 28.94,40
V025,"A woman approaches a house, steals a parcel from the doorstep and walks away.",c036 0.16 16.83,29
V026,"A person approaches a house, steals a parcel from the doorstep, gets into his car, and drives away.",c036 1.75 5.16;c025 5.54 14.94,16
V027,"A person approaches a house, steals a parcel from the doorstep, loads it onto a truck, and drives away.",c028 0.00 4.91;c036 8.82 15.91;c024 16.05 22.49,22.49
V028,"A person approaches a house, steals a parcel from the doorstep, gets into his car, and drives away.",c036 0.14 6.60;c014 8.10 9.86,10
V029,"A person approaches a bicycle, steals it, loads it onto a trolley, and walks away.",c038 11.41 18.54,58
V030,"A woman walks past a house, notices a package on the doorstep, turns around, takes the package, and walks away.",c028 21.24 28.43;c036 29.47 45.91,47
V031,"A man runs upto a porch, steals some packages and flees on his car",c036 3.50 9.89;c025 17.64 25.93,30
V032,"A man wearing a head covering to hide his face rummages through the house, opening and checking drawers and cupboards, searching for valuables.",c012 0.00 41.00,41.00
V033,"A woman walks upto a door, steals a package and walks away.",c028 0.00 3.11;c036 3.44 10.11,10.11
V034,"A person walks up to a house, steals a parcel from the doorstep, gets into his car, and drives away.",c028 0.47 5.97;c036 12.82 17.19;c025 19.13 25.60,25.60
V035,"A woman walks upto a door, steals a package and walks away.",c036 2.44 10.18,10.18
V036,"A person carefully opens a sliding door and steps into the house. He spots a laptop, picks it up, and continues looking around. After searching through the place, he finds a television, exits the house carrying the TV.",c001 5.49 7.71;c007 15.61 20.00;c006 135.44 162.91;c017 20.47 76.72,163
V037,"A person steals a bicycle and leaves with it.",c038 1.63 10.93,13
V038,"A man gets out of a car, walks up to a house to steal a parcel and get back into the car.",c019 2.97 6.66;c014 15.46 19.05;c036 11.86 14.74,19
V039,"A man steals a parcel, gets into his car and drives away.",c039 0.77 4.72;c014 6.24 11.99;c025 13.07 16.29,16.29
V040,"A man steals a parcel and walks away.",c036 0.13 2.42,8
V041,"A man steals a parcel and walks away.",c028 0.02 4.35;c036 5.36 11.18,30
V042,"A man rides a bicycle upto a front porch, steals a parcel and rides away.",c039 12.16 16.14;c040 0.00 23.27,23.27
V043,"A man breaks into a vehicle.",c026 9.00 22.02,22.02
V044,"A man waits on the front porch for a while, steals a package and walks away.",c036 44.05 54.96,59
V045,"A person walks up to a house, steals a parcel from the doorstep, and walks away.",c039 6.54 17.00;c028 0.00 4.63,25
V046,"A person walks up to a house, steals a parcel from the doorstep, gets into his car, and drives away.",c036 0.00 5.80;c025 17.68 18.68,18.68
V047,"A group of men break open a rolling shutter gate. Once inside, they quickly maneuver the motorcycles out.",c020 0.00 65.00;c041 74.27 125.27,125.27
V048,"A group of men break several doors of a house. After a while, they find a large safe, lift it, and carry it out.",c020 48.30 67.85;c020 4.54 12.72;c042 94.46 112.27,112.27
